title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,doi_key,title_norm,citation_score,recency_score,kw_score_raw,kw_score,gold_probability,cluster3_probability,ml_match_gold,ml_match_cluster,ml_score_gold,ml_score_cluster3,ml_score_total,final_score,pdf_file,status,final_url
Monolithic all-perovskite tandem solar cells with 24.8% efficiency exploiting comproportionation to suppress Sn(ii) oxidation in precursor ink,2019,10.1038/s41560-019-0466-3,https://openalex.org/W2973335593,1069,True,https://utoronto.scholaris.ca/bitstreams/1657147f-a8ba-4220-8150-73ca5b33a2a5/download,http://hdl.handle.net/1807/97401,Nature Energy,10.1038s41560-019-0466-3,monolithic all perovskite tandem solar cells with 24 8 efficiency exploiting comproportionation to suppress sn ii oxidation in precursor ink,34.87706963727976,0.4,4.0,8.0,0.0,0.0,,,0.0,0.0,0.0,43.27706963727976,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41560-019-0466-3_Monolithic_all-perovskite_tandem_solar_cells_with_24.8_efficiency_exploiting_comproportionation_to_suppress_Sn.pdf,downloaded_pdf,https://utoronto.scholaris.ca/server/api/core/bitstreams/1657147f-a8ba-4220-8150-73ca5b33a2a5/content
Universal passivation strategy to slot-die printed SnO2 for hysteresis-free efficient flexible perovskite solar module,2018,10.1038/s41467-018-07099-9,https://openalex.org/W2898941509,820,True,https://www.nature.com/articles/s41467-018-07099-9.pdf,https://doi.org/10.1038/s41467-018-07099-9,Nature Communications,10.1038s41467-018-07099-9,universal passivation strategy to slot die printed sno2 for hysteresis free efficient flexible perovskite solar module,33.552615547262135,0.3,4.0,8.0,0.0,0.0,,,0.0,0.0,0.0,41.85261554726213,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-07099-9_Universal_passivation_strategy_to_slot-die_printed_SnO2_for_hysteresis-free_efficient_flexible_perovskite_sol.pdf,downloaded_pdf,https://www.nature.com/articles/s41467-018-07099-9.pdf
Inkjet‐Printed Micrometer‐Thick Perovskite Solar Cells with Large Columnar Grains,2019,10.1002/aenm.201903184,https://openalex.org/W2995089958,227,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201903184,https://doi.org/10.1002/aenm.201903184,Advanced Energy Materials,10.1002aenm.201903184,inkjet printed micrometer thick perovskite solar cells with large columnar grains,27.146728144772204,0.4,6.5,13.0,0.0,0.0,,,0.0,0.0,0.0,40.5467281447722,,no_accessible_pdf_found,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201903184
Development of Greener and Stable Inkjet‐Printable Perovskite Precursor Inks for All‐Printed Annealing‐Free Perovskite Solar Mini‐Modules Manufacturing,2023,10.1002/smtd.202300664,https://openalex.org/W4382502101,41,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smtd.202300664,https://doi.org/10.1002/smtd.202300664,Small Methods,10.1002smtd.202300664,development of greener and stable inkjet printable perovskite precursor inks for all printed annealing free perovskite solar mini modules manufacturing,18.68834809141684,0.8,10.5,21.0,0.0,0.0,,,0.0,0.0,0.0,40.48834809141684,,no_accessible_pdf_found,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smtd.202300664
Slot-die coating large-area formamidinium-cesium perovskite film for efficient and stable parallel solar module,2021,10.1126/sciadv.abg3749,https://openalex.org/W3159483471,322,True,,https://doi.org/10.1126/sciadv.abg3749,Science Advances,10.1126sciadv.abg3749,slot die coating large area formamidinium cesium perovskite film for efficient and stable parallel solar module,28.888261616113283,0.6,5.0,10.0,0.0,0.0,,,0.0,0.0,0.0,39.48826161611328,,html_parse_failed,nan
20.8% Slot‐Die Coated MAPbI3 Perovskite Solar Cells by Optimal DMSO‐Content and Age of 2‐ME Based Precursor Inks,2021,10.1002/aenm.202003460,https://openalex.org/W3113214473,204,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202003460,https://doi.org/10.1002/aenm.202003460,Advanced Energy Materials,10.1002aenm.202003460,20 8 slot die coated mapbi3 perovskite solar cells by optimal dmso content and age of 2 me based precursor inks,26.61504989569204,0.6,6.0,12.0,0.0,0.0,,,0.0,0.0,0.0,39.21504989569205,,no_accessible_pdf_found,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202003460
"Genesis, challenges and opportunities for colloidal lead halide perovskite nanocrystals",2018,10.1038/s41563-018-0018-4,https://openalex.org/W2794107391,2263,True,https://www.dora.lib4ri.ch/empa/dload/empa:16545/PDF2/view,https://www.dora.lib4ri.ch/empa/islandora/object/empa%3A16545,Nature Materials,10.1038s41563-018-0018-4,genesis challenges and opportunities for colloidal lead halide perovskite nanocrystals,38.62444219661537,0.3,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,38.92444219661537,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41563-018-0018-4_Genesis_challenges_and_opportunities_for_colloidal_lead_halide_perovskite_nanocrystals.pdf,downloaded_pdf,https://www.dora.lib4ri.ch/empa/dload/empa:16545/PDF2/view
Solution-processed semiconductors for next-generation photodetectors,2017,10.1038/natrevmats.2016.100,https://openalex.org/W2580498825,1531,True,https://utoronto.scholaris.ca/bitstreams/544533a9-d2ba-47fd-bcad-e7a7554dac98/download,http://hdl.handle.net/1807/75852,Nature Reviews Materials,10.1038natrevmats.2016.100,solution processed semiconductors for next generation photodetectors,36.671646751502685,0.2,1.0,2.0,0.0,0.0,,,0.0,0.0,0.0,38.87164675150269,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1038natrevmats.2016.100_Solution-processed_semiconductors_for_next-generation_photodetectors.pdf,downloaded_pdf,https://utoronto.scholaris.ca/server/api/core/bitstreams/544533a9-d2ba-47fd-bcad-e7a7554dac98/content
Stable Colloidal Quantum Dot Inks Enable Inkjet-Printed High-Sensitivity Infrared Photodetectors,2019,10.1021/acsnano.9b06125,https://openalex.org/W2975774155,160,True,https://utoronto.scholaris.ca/bitstreams/6a8e480f-2bf2-40ae-8fad-53a9d43afd9e/download,http://hdl.handle.net/1807/96973,ACS Nano,10.1021acsnano.9b06125,stable colloidal quantum dot inks enable inkjet printed high sensitivity infrared photodetectors,25.40702182492232,0.4,6.5,13.0,0.0,0.0,,,0.0,0.0,0.0,38.80702182492232,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1021acsnano.9b06125_Stable_Colloidal_Quantum_Dot_Inks_Enable_Inkjet-Printed_High-Sensitivity_Infrared_Photodetectors.pdf,downloaded_pdf,https://utoronto.scholaris.ca/server/api/core/bitstreams/6a8e480f-2bf2-40ae-8fad-53a9d43afd9e/content
One-Year stable perovskite solar cells by 2D/3D interface engineering,2017,10.1038/ncomms15684,https://openalex.org/W2621222172,2056,True,https://www.nature.com/articles/ncomms15684.pdf,https://doi.org/10.1038/ncomms15684,Nature Communications,10.1038ncomms15684,one year stable perovskite solar cells by 2d 3d interface engineering,38.14501944826479,0.2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,38.34501944826479,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1038ncomms15684_One-Year_stable_perovskite_solar_cells_by_2D3D_interface_engineering.pdf,downloaded_pdf,https://www.nature.com/articles/ncomms15684.pdf
